x,y,z,gene
4760.0,2156.0,15,para
4757.0,2770.0,15,para
4753.0,2727.0,15,para
4750.0,2192.0,15,para
4731.0,2714.0,15,para
4729.0,2632.0,15,para
4711.0,2863.0,15,para
4709.0,2635.0,15,para
4706.0,2744.0,15,para
4701.0,2676.0,15,para
4700.0,2719.0,15,para
4697.0,2617.0,15,para
4695.0,2694.0,15,para
4692.0,2785.0,15,para
4632.0,2852.0,15,para
4627.0,2839.0,15,para
5390.0,2179.0,16,para
5381.0,2369.0,16,para
5356.0,2574.0,16,para
5334.0,2358.0,16,para
5000.0,2375.0,16,para
4976.0,2462.0,16,para
4968.0,2394.0,16,para
4937.0,2348.0,16,para
4933.0,2354.0,16,para
4918.0,2509.0,16,para
4914.0,2354.0,16,para
4913.0,2157.0,16,para
4905.0,2372.0,16,para
4903.0,2621.0,16,para
4897.0,2340.0,16,para
4886.0,2618.0,16,para
4878.0,2206.0,16,para
4876.0,2454.0,16,para
4864.0,2209.0,16,para
4848.0,2473.0,16,para
4822.0,2274.0,16,para
4815.0,2149.0,16,para
4809.0,2285.0,16,para
4781.0,2317.0,16,para
4779.0,2206.0,16,para
4776.0,2703.0,16,para
4774.0,2541.0,16,para
4771.0,2159.0,16,para
4764.0,2424.0,16,para
4750.0,2592.0,16,para
4743.0,2159.0,16,para
4727.0,2847.0,16,para
4708.0,2763.0,16,para
4705.0,2614.0,16,para
4689.0,2675.0,16,para
4687.0,2718.0,16,para
4679.0,2834.0,16,para
5431.0,2292.0,17,para
5342.0,2362.0,17,para
4977.0,2424.0,17,para
4977.0,2408.0,17,para
4972.0,2410.0,17,para
4933.0,2350.0,17,para
4928.0,2413.0,17,para
4918.0,2344.0,17,para
4896.0,2292.0,17,para
4882.0,2231.0,17,para
4877.0,2414.0,17,para
4876.0,2257.0,17,para
4864.0,2275.0,17,para
4856.0,2256.0,17,para
4854.0,2184.0,17,para
4848.0,2232.0,17,para
4846.0,2179.0,17,para
4842.0,2740.0,17,para
4815.0,2329.0,17,para
4806.0,2250.0,17,para
4793.0,2546.0,17,para
4785.0,2258.0,17,para
4783.0,2301.0,17,para
4765.0,2444.0,17,para
4761.0,2208.0,17,para
4758.0,2548.0,17,para
4746.0,2632.0,17,para
4740.0,2431.0,17,para
4724.0,2828.0,17,para
4700.0,2713.0,17,para
4697.0,2743.0,17,para
5418.0,2296.0,18,para
5394.0,2159.0,18,para
5361.0,2590.0,18,para
5347.0,2684.0,18,para
5303.0,2163.0,18,para
5146.0,2468.0,18,para
4979.0,2401.0,18,para
4938.0,2302.0,18,para
4936.0,2420.0,18,para
4927.0,2338.0,18,para
4915.0,2285.0,18,para
4890.0,2509.0,18,para
4866.0,2471.0,18,para
4865.0,2331.0,18,para
4852.0,2196.0,18,para
4849.0,2392.0,18,para
4849.0,2345.0,18,para
4848.0,2407.0,18,para
4848.0,2307.0,18,para
4836.0,2755.0,18,para
4835.0,2262.0,18,para
4832.0,2557.0,18,para
4828.0,2285.0,18,para
4826.0,2206.0,18,para
4792.0,2167.0,18,para
4786.0,2217.0,18,para
4784.0,2297.0,18,para
4778.0,2172.0,18,para
4742.0,2652.0,18,para
4723.0,2592.0,18,para
4714.0,2640.0,18,para
4702.0,2725.0,18,para
5398.0,2168.0,19,para
5371.0,2756.0,19,para
5139.0,2590.0,19,para
4937.0,2512.0,19,para
4895.0,2396.0,19,para
4890.0,2566.0,19,para
4888.0,2255.0,19,para
4883.0,2238.0,19,para
4879.0,2623.0,19,para
4876.0,2452.0,19,para
4871.0,2395.0,19,para
4860.0,2273.0,19,para
4849.0,2240.0,19,para
4843.0,2329.0,19,para
4814.0,2254.0,19,para
4810.0,2226.0,19,para
4807.0,2205.0,19,para
4805.0,2324.0,19,para
4788.0,2282.0,19,para
4786.0,2226.0,19,para
4775.0,2220.0,19,para
4774.0,2568.0,19,para
4771.0,2229.0,19,para
4752.0,2469.0,19,para
4740.0,2575.0,19,para
4696.0,2726.0,19,para
4695.0,2704.0,19,para
4689.0,2840.0,19,para
4687.0,2842.0,19,para
4687.0,2656.0,19,para
4686.0,2652.0,19,para
4668.0,2791.0,19,para
4663.0,2837.0,19,para
4622.0,2812.0,19,para
4610.0,2836.0,19,para
4607.0,2835.0,19,para
5391.0,2174.0,20,para
5328.0,2765.0,20,para
4975.0,2474.0,20,para
4969.0,2510.0,20,para
4922.0,2548.0,20,para
4915.0,2338.0,20,para
4911.0,2435.0,20,para
4908.0,2446.0,20,para
4905.0,2365.0,20,para
4888.0,2599.0,20,para
4882.0,2466.0,20,para
4873.0,2235.0,20,para
4862.0,2397.0,20,para
4860.0,2312.0,20,para
4858.0,2416.0,20,para
4857.0,2275.0,20,para
4854.0,2304.0,20,para
4845.0,2631.0,20,para
4838.0,2295.0,20,para
4837.0,2379.0,20,para
4834.0,2629.0,20,para
4825.0,2283.0,20,para
4804.0,2288.0,20,para
4799.0,2239.0,20,para
4788.0,2198.0,20,para
4784.0,2149.0,20,para
4783.0,2440.0,20,para
4766.0,2269.0,20,para
4756.0,2282.0,20,para
4734.0,2690.0,20,para
4723.0,2419.0,20,para
4697.0,2687.0,20,para
4693.0,2723.0,20,para
4679.0,2756.0,20,para
4662.0,2833.0,20,para
4617.0,2803.0,20,para
4563.0,2786.0,20,para
5425.0,2386.0,21,para
5420.0,2617.0,21,para
5318.0,2808.0,21,para
5310.0,2817.0,21,para
4961.0,2448.0,21,para
4930.0,2438.0,21,para
4918.0,2335.0,21,para
4916.0,2383.0,21,para
4883.0,2509.0,21,para
4868.0,2297.0,21,para
4860.0,2410.0,21,para
4857.0,2297.0,21,para
4857.0,2262.0,21,para
4856.0,2330.0,21,para
4856.0,2258.0,21,para
4841.0,2544.0,21,para
4841.0,2345.0,21,para
4840.0,2236.0,21,para
4835.0,2303.0,21,para
4834.0,2223.0,21,para
4833.0,2544.0,21,para
4827.0,2640.0,21,para
4768.0,2267.0,21,para
4767.0,2421.0,21,para
4762.0,2439.0,21,para
4740.0,2661.0,21,para
4732.0,2787.0,21,para
4718.0,2587.0,21,para
4691.0,2573.0,21,para
4680.0,2784.0,21,para
4602.0,2825.0,21,para
4597.0,2825.0,21,para
5369.0,2720.0,22,para
4929.0,2474.0,22,para
4906.0,2396.0,22,para
4896.0,2400.0,22,para
4889.0,2499.0,22,para
4854.0,2437.0,22,para
4842.0,2372.0,22,para
4842.0,2342.0,22,para
4839.0,2355.0,22,para
4836.0,2643.0,22,para
4813.0,2267.0,22,para
4782.0,2216.0,22,para
4778.0,2152.0,22,para
4769.0,2160.0,22,para
4754.0,2408.0,22,para
4748.0,2593.0,22,para
4734.0,2583.0,22,para
4733.0,2575.0,22,para
4717.0,2695.0,22,para
4715.0,2436.0,22,para
4702.0,2572.0,22,para
4700.0,2748.0,22,para
4697.0,2781.0,22,para
4697.0,2773.0,22,para
4695.0,2795.0,22,para
4693.0,2824.0,22,para
4686.0,2802.0,22,para
4685.0,2442.0,22,para
4681.0,2422.0,22,para
4673.0,2824.0,22,para
4657.0,2836.0,22,para
4638.0,2784.0,22,para
4632.0,2837.0,22,para
4589.0,2809.0,22,para
5418.0,2624.0,23,para
5366.0,2745.0,23,para
5366.0,2738.0,23,para
4951.0,2494.0,23,para
4908.0,2399.0,23,para
4902.0,2533.0,23,para
